config,portfolio,model,alpha,alpha_annualized,alpha_tstat,significance,beta_MKT,beta_SMB,beta_HML,r_squared,n_obs
monthly_equal,long,CAPM,-0.0005349697047008888,-0.13481236558462398,-2.4080874085296013,**,0.3665150239917682,,,0.7425638238583515,107
monthly_equal,long,FF3,-0.0004925315340864418,-0.12411794658978333,-2.2822585690088872,**,0.3603984803507341,0.03652055804640256,0.028907327888135808,0.7528786219783625,107
monthly_equal,long,FF5,-0.0004735600968596669,-0.11933714440863606,-2.4167435435893516,**,0.34723889964720894,0.03272070402038853,0.04890408215257499,0.7664067633658758,107
monthly_equal,short,CAPM,-0.0004693752698629706,-0.11828256800546859,-1.500778002015621,,0.4713941359140945,,,0.6623924735789025,107
monthly_equal,short,FF3,-0.0003079141175172146,-0.07759435761433808,-1.1092646038932916,,0.4219484948660071,0.19052403753882385,0.04318577422328895,0.7372830572042002,107
monthly_equal,short,FF5,-0.0002920388680922514,-0.07359379475924735,-1.0799127654868688,,0.42377737967613793,0.21344416129263313,0.04474751631634303,0.7442393893586238,107
monthly_equal,long_short,CAPM,-0.0002655944348379168,-0.06692979757915503,-1.1175761616370972,,-0.1048791119223247,,,0.13738149261400068,107
monthly_equal,long_short,FF3,-0.00038461741656922467,-0.09692358897544462,-1.69225127610672,*,-0.06155001451527203,-0.15400347949241985,-0.01427844633515298,0.31106263569491266,107
monthly_equal,long_short,FF5,-0.00038152122876741317,-0.09614334964938812,-1.744184745713176,*,-0.07653848002892816,-0.18072345727224315,0.00415656583623222,0.3263308061173227,107
monthly_value,long,CAPM,-0.0005264567862516989,-0.13266711013542812,-2.07999979761116,**,0.4435966351955475,,,0.6482648448943605,107
monthly_value,long,FF3,-0.0005805815298956687,-0.14630654553370853,-2.3563740700321376,**,0.4977287082464095,-0.1378736047709536,0.08136632216628702,0.6742912267090928,107
monthly_value,long,FF5,-0.000559556483365174,-0.14100823380802383,-2.4992998780527818,**,0.48266110796570505,-0.14306759055235052,0.10409896667996874,0.6842724236990416,107
monthly_value,short,CAPM,-0.0010127105142284719,-0.25520304958557494,-1.376629917754908,,0.845082919375217,,,0.5494281162887458,107
monthly_value,short,FF3,-0.0009974749368161782,-0.2513636840776769,-1.309613195457598,,0.8481562278227237,0.002728125901180439,0.023824540462802492,0.5497486167375998,107
monthly_value,short,FF5,-0.0009602472399638784,-0.24198230447089736,-1.2547372821087415,,0.8703301276624973,0.09282899663756677,0.006355420660885586,0.5654632035764577,107
monthly_value,long_short,CAPM,0.000286253727976766,0.07213593945014503,0.40591526624049773,,-0.40148628417966686,,,0.26791343575714754,107
monthly_value,long_short,FF3,0.00021689340692050268,0.05465713854396667,0.3093314254593073,,-0.3504275195763118,-0.14060173067213316,0.057541781703484014,0.2810835769028325,107
monthly_value,long_short,FF5,0.00020069075659869757,0.05057407066287179,0.28296707250962194,,-0.38766901969679,-0.2358965871899167,0.09774354601908276,0.30651169369828546,107
weekly_equal,long,CAPM,-7.91076011478172e-05,-0.019935115489249932,-0.2760908811389899,,0.40352607116236205,,,0.6851043672203954,124
weekly_equal,long,FF3,-0.00013424522344802526,-0.033829796308902364,-0.6833059963138185,,0.3680569675545827,0.14164483078805268,0.00610145947028211,0.7540055861000968,124
weekly_equal,long,FF5,-0.00013127713353648272,-0.033081837651193644,-0.6954320182789103,,0.35068252908712855,0.11496783717729638,0.032788989080891943,0.7642267648247704,124
weekly_equal,short,CAPM,-9.590807089733457e-05,-0.024168833866128312,-0.23423626664885677,,0.5220401309670402,,,0.6370911007937096,124
weekly_equal,short,FF3,-0.00017798413969255628,-0.04485200320252418,-0.587800291136083,,0.46833468530999633,0.2123023999455232,0.006749254186702957,0.7220814335131664,124
weekly_equal,short,FF5,-0.00018705384543236839,-0.047137569048956836,-0.6222573678155684,,0.4775026107680177,0.24579471089090182,-0.002206904339766464,0.728572702025233,124
weekly_equal,long_short,CAPM,-0.00018319953025048937,-0.04616628162312332,-0.7374631688049101,,-0.11851405980467707,,,0.1388027610683198,124
weekly_equal,long_short,FF3,-0.0001562610837554765,-0.03937779310638008,-0.6555634938843842,,-0.10027771775541292,-0.0706575691574692,-0.0006477947164206729,0.17767486415374767,124
weekly_equal,long_short,FF5,-0.00014422328810412212,-0.03634426860223877,-0.6168222186585899,,-0.12682008168088846,-0.13082687371360446,0.03499589342065862,0.22963629885405057,124
weekly_value,long,CAPM,2.7547145563275774e-05,0.006941880681945495,0.05586608397707605,,0.5296478205399786,,,0.3852856573497151,124
weekly_value,long,FF3,5.2954096141164604e-05,0.01334443222757348,0.1145562640452034,,0.5227058165425852,-0.027938236472307837,-0.06269303819963976,0.391867723930283,124
weekly_value,long,FF5,7.235985347862775e-05,0.018234683076614196,0.15455236421612453,,0.5073717569990941,-0.09491747062820045,-0.05060694814797155,0.41120237773414803,124
weekly_value,short,CAPM,-0.0015015918752498735,-0.37840115256296813,-1.225121081853633,,1.2139199081927703,,,0.47127484900559724,124
weekly_value,short,FF3,-0.0014744209483992926,-0.37155407899662174,-1.1825984866618064,,1.2614193985799533,-0.11792796802352813,0.07419450793518757,0.4737575430720248,124
weekly_value,short,FF5,-0.0015357381984467055,-0.38700602600856976,-1.2573717867447967,,1.3235058784630833,0.10861737856442155,0.01347104748978345,0.5143187097404455,124
weekly_value,long_short,CAPM,0.0013291390208131433,0.3349430332449121,1.0449782235027665,,-0.6842720876527906,,,0.1869483291280537,124
weekly_value,long_short,FF3,0.0013273750445404512,0.3344985112241937,1.0550199198230268,,-0.7387135820373671,0.08998973155121984,-0.13688754613482812,0.19084150760985075,124
weekly_value,long_short,FF5,0.001408098051925329,0.3548407090851829,1.156823622613581,,-0.8161341214639881,-0.20353484919262255,-0.06407799563775585,0.2805787218463087,124
